"통계분류(1)",통계분류(2),2021,2021,2021
"통계분류(1)",통계분류(2),사례수,읽음,안읽음
"전체",소계,6000,19,81
"성별",남성,2991,20.1,79.9
"성별",여성,3009,17.9,82.1
"연령별",19~29세,1016,50.5,49.5
"연령별",30~39세,964,38.4,61.6
"연령별",40~49세,1123,13.8,86.2
"연령별",50~59세,1173,5.2,94.8
"연령별",60세 이상,1724,2.3,97.7
"학력별",중졸 이하,900,0.2,99.8
"학력별",고졸 고퇴,2136,5.6,94.4
"학력별",대재 이상,2964,34.3,65.7
"소득수준별",200만원 미만,715,4.2,95.8
"소득수준별",200~300만원미만,888,8.3,91.7
"소득수준별",300~400만원미만,1412,18,82
"소득수준별",400~500만원 미만,1521,23.6,76.4
"소득수준별",500만원 이상,1464,28.8,71.2
