"통계분류(1)",통계분류(2),2021,2021,2021
"통계분류(1)",통계분류(2),사례수,읽음,안읽음
"전체",소계,3320,49.1,50.9
"학교급",초등학교,1117,48.9,51.1
"학교급",중학교,1095,50.9,49.1
"학교급",고등학교,1108,47.4,52.6
"학교급 성별",초등학교-남,575,39,61
"학교급 성별",초등학교-여,541,59.4,40.6
"학교급 성별",중학교-남,566,44.9,55.1
"학교급 성별",중학교-여,529,57.4,42.6
"학교급 성별",고등학교-남,579,43.3,56.7
"학교급 성별",고등학교-여,529,51.8,48.2
"학교급 학년",초등학교 4학년,380,47.7,52.3
"학교급 학년",초등학교 5학년,360,46.2,53.8
"학교급 학년",초등학교 6학년,376,52.6,47.4
"학교급 학년",중학교 1학년,394,53,47
"학교급 학년",중학교 2학년,357,50,50
"학교급 학년",중학교 3학년,344,49.5,50.5
"학교급 학년",고등학교 1학년,392,47.2,52.8
"학교급 학년",고등학교 2학년,364,46.1,53.9
"학교급 학년",고등학교 3학년,352,49,51
