"통계분류(1)",통계분류(2),2021,2021,2021
"통계분류(1)",통계분류(2),사례수,읽음,안읽음
"전체",소계,3320,87.4,12.6
"학교급",초등학교,1117,93.2,6.8
"학교급",중학교,1095,87,13
"학교급",고등학교,1108,82.1,17.9
"학교급 성별",초등학교-남,575,93.7,6.3
"학교급 성별",초등학교-여,541,92.7,7.3
"학교급 성별",중학교-남,566,84,16
"학교급 성별",중학교-여,529,90.2,9.8
"학교급 성별",고등학교-남,579,77.2,22.8
"학교급 성별",고등학교-여,529,87.4,12.6
"학교급 학년",초등학교 4학년,380,95.4,4.6
"학교급 학년",초등학교 5학년,360,89.9,10.1
"학교급 학년",초등학교 6학년,376,94.2,5.8
"학교급 학년",중학교 1학년,394,88,12
"학교급 학년",중학교 2학년,357,90.8,9.2
"학교급 학년",중학교 3학년,344,81.9,18.1
"학교급 학년",고등학교 1학년,392,84.5,15.5
"학교급 학년",고등학교 2학년,364,82.8,17.2
"학교급 학년",고등학교 3학년,352,78.6,21.4
